"","species","degree","community"
"1","Achillea_millefolium",22,"1"
"2","Agrimonia_eupatoria",15,"2"
"3","Agrostis_canina",8,"2"
"4","Agrostis_canina_spp_montana",15,"2"
"5","Ajuga_reptans",23,"2"
"6","Alopecurus_pratensis",6,"2"
"7","Anemone_nemorosa",15,"3"
"8","Angelica_sylvestris",15,"2"
"9","Arrhenatherum_elatius",17,"2"
"10","Bellis_perennis",6,"1"
"11","Brachythecium_rutabulum",14,"1"
"12","Briza_media",16,"3"
"13","Calliergon_cuspidatum",13,"1"
"14","Carex_caryophyllea",23,"3"
"15","Carex_flacca",27,"1"
"16","Carex_ovalis",10,"2"
"17","Centaurea_nigra",17,"1"
"18","Cirsium_palustre",17,"2"
"19","Conopodium_majus",16,"3"
"20","Dactylis_glomerata",7,"1"
"21","Dactylorhiza_fuchsii",19,"1"
"22","Danthonia_decumbens",11,"3"
"23","Deschampsia_cespitosa",6,"2"
"24","Eurhynchium_praelongum",7,"2"
"25","Festuca_pratensis",6,"2"
"26","Galium_aparine",6,"2"
"27","Galium_palustre",16,"2"
"28","Glechoma_hederacea",7,"2"
"29","Heracleum_sphondylium",7,"3"
"30","Hieracium_pilosella",8,"3"
"31","Hyacinthoides_non-scripta",12,"3"
"32","Hypericum_tetrapterum",11,"2"
"33","Hypochaeris_radicata",22,"1"
"34","Juncus_acutiflorus",9,"2"
"35","Juncus_conglomeratus",20,"2"
"36","Juncus_effusus",9,"2"
"37","Juncus_inflexus",13,"2"
"38","Lathyrus_montanus",24,"3"
"39","Lathyrus_pratensis",9,"1"
"40","Leontodon_hispidus",16,"3"
"41","Leucanthemum_vulgare",21,"1"
"42","Lotus_corniculatus",14,"1"
"43","Lotus_uliginosus",9,"2"
"44","Luzula_campestris",16,"1"
"45","Luzula_multiflora",8,"3"
"46","Myosotis_discolor",8,"2"
"47","Oenanthe_crocata",8,"2"
"48","Phleum_pratense",6,"2"
"49","Pimpinella_saxifraga",22,"3"
"50","Plantago_lanceolata",21,"1"
"51","Potentilla_anserina",8,"2"
"52","Potentilla_erecta",22,"2"
"53","Potentilla_hybrid",6,"2"
"54","Potentilla_reptans",12,"2"
"55","Potentilla_sterilis",17,"3"
"56","Prunella_vulgaris",16,"1"
"57","Pseudoscleropodium_purum",27,"3"
"58","Pulicaria_dysenterica",18,"2"
"59","Ranunculus_bulbosus",16,"3"
"60","Ranunculus_flammula",9,"2"
"61","Rhinanthus_minor",25,"3"
"62","Rhytidiadelphus_squarrosus",22,"1"
"63","Rubus_fruticosus",11,"2"
"64","Rumex_crispus",14,"2"
"65","Rumex_obtusifolius",10,"2"
"66","Senecio_jacobaea",8,"2"
"67","Silaum_silaus",9,"3"
"68","Stachys_betonica",20,"3"
"69","Succisa_pratensis",23,"3"
"70","Tragopogon_pratensis",9,"3"
"71","Trifolium_dubium",12,"1"
"72","Trifolium_pratense",12,"1"
"73","Urtica_dioica",6,"2"
"74","Veronica_chamaedrys",12,"2"
"75","Veronica_officinalis",11,"3"
"76","Veronica_serpyllifolia",8,"2"
"77","Vicia_sativa",13,"2"
"78","Vicia_tetrasperma",20,"2"
"79","Viola_riviniana",13,"3"
