stand,Ajuga_reptans,Alopecurus_pratensis,Angelica_sylvestris,Anthoxanthum_odoratum,Brachythecium_rutabulum,Centaurea_nigra,Cirsium_arvense,Dactylorhiza_fuchsii,Eurhynchium_praelongum,Galium_aparine,Holcus_lanatus,Juncus_conglomeratus,Lathyrus_pratensis,Lolium_perenne,Lotus_corniculatus,Lotus_uliginosus,Phleum_pratense,Poa_trivialis,Potentilla_reptans,Prunella_vulgaris,Pulicaria_dysenterica,Ranunculus_acris,Ranunculus_repens,Rumex_acetosa,Rumex_crispus,Sonchus_oleraceus,Stellaria_graminea,Trifolium_repens,Achillea_millefolium,Cardamine_pratensis,Dactylis_glomerata,Fissidens_taxifolius,Myosotis_discolor,Plagiomnium_undulatum,Plantago_lanceolata,Primula_veris,Taraxacum_officinale,Trifolium_pratense,Veronica_chamaedrys,Vicia_cracca,Calliergon_cuspidatum,Cerastium_fontanum,Cirsium_palustre,Cynosurus_cristatus,Festuca_rubra,Hypochaeris_radicata,Luzula_campestris,Rhytidiadelphus_squarrosus,Bromus_hordeaceus,Carex_hirta,Carex_ovalis,Conopodium_majus,Hyacinthoides_non-scripta,Ophioglossum_vulgatum,Senecio_jacobaea,Veronica_serpyllifolia,Atrichum_undulatum,Juncus_acutiflorus,Juncus_effusus,Agrostis_canina_spp_montana,Leontodon_hispidus,Leucanthemum_vulgare,Trifolium_dubium,Agrostis_canina,Ranunculus_flammula,Linum_catharticum,Poa_pratensis,Ranunculus_bulbosus,Agrimonia_eupatoria,Carex_flacca,Genista_tinctoria,Geranium_dissectum,Glechoma_hederacea,Pimpinella_saxifraga,Succisa_pratensis,Urtica_dioica,Veronica_arvensis,Viola_riviniana,Bellis_perennis,Briza_media,Elymus_repens,Epilobium_montana,Festuca_ovina,Festuca_pratensis,Hieracium_pilosella,Senecio_erucifolius,Silaum_silaus,Trisetum_flavescens,Vicia_sativa,Vicia_tetrasperma,Arrhenatherum_elatius,Heracleum_sphondylium,Rumex_obtusifolius,Ranunculus_ficaria,Veronica_filiformis,Carex_caryophyllea,Hypericum_pulchrum,Pseudoscleropodium_purum,Weissia_controversa,Potentilla_anserina,Vulpia_bromoides,Carex_panicea,Dactylorhiza_praetermissa,Dactylorhiza_x_grandis,Galium_palustre,Hypericum_tetrapterum,Juncus_inflexus,Mentha_aquatica,Oenanthe_crocata,Potentilla_erecta,Potentilla_sterilis,Achillea_ptarmica,Cirsium_dissectum,Epilobium_palustre,Equisetum_fluviatile,Eriophorum_angustifolium,Hydrocotyle_vulgaris,Poa_nemoralis,Potentilla_palustris,Filipendula_ulmaria,Geum_urbanum,Rumex_conglomeratus,Scrophularia_nodosa,Stachys_palustris,Cardamine_flexuosa,Rubus_fruticosus,Solanum_dulcamara,Centaurium_erythraea,Alopecurus_geniculatus,Glyceria_fluitans,Calystegia_sepium,Equisetum_arvense,Equisetum_palustre,Stellaria_alsine,Anemone_nemorosa,Juncus_articulatus,Rhinanthus_minor,Plantago_major,Carex_pilulifera,Cruciata_laevipes,Pteridium_aquilinum,Hordeum_secalinum,Leontodon_autumnalis,Leontodon_taraxacoides,Dicranoweisia_cirrata,Phalaris_arundinacea,Lychnis_flos-cuculi,Pleuridium_acuminatum,Epilobium_obscurum,Juncus_bufonius,Deschampsia_cespitosa,Potentilla_hybrid,Luzula_multiflora,Convolvulus_arvensis,Hypericum_humifusum,Mentha_arvensis,Myosotis_arvensis,Epilobium_ciliatum,Picris_hieracioides,Cirsium_vulgare,Ranunculus_sardous,Sonchus_asper,Vicia_sepium,Cerastium_glomeratum,Sagina_procumbens,Juncus_acutiflorus_articulatus,Poa_annua,Pedicularis_sylvatica,Rumex_acetosella,Stachys_betonica,Dicranella_staphylina,Oenanthe_pimpinelloides,Malva_moschata,Carex_pendula,Tragopogon_pratensis,Festuca_arundinacea,Hypericum_perforatum,Carex_flava,Danthonia_decumbens,Veronica_officinalis,Scutellaria_galericulata,Scutellaria_minor,Epilobium_hirsutum,Epilobium_parviflorum,Epilobium_tetragonum,Hypericum_hirsutum,Pseudephemerum_nitidum,Veronica_persica,Stachys_sylvatica,Carex_laevigata,Eurhynchium_striatum,Lonicera_periclymenum,Lysimachia_nemorum,Solidago_virgaurea,Thuidium_tamariscinum,Crepis_capillaris,Potentilla_anglica,Bryum_sauteri,Dicranella_heteromalla,Lathyrus_montanus,Trichodon_cylindricus,Equisetum_telmateia,Euphrasia_nemorosa,Trifolium_medium,Agropyron_caninum,Bryum_ruderale
S_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_3,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_6,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_12,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_13,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_16,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_19,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_20,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_21,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_23,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
